"Country","Year","Cancer site","ICD10 code","RouteToDiagnosis","Stage","Count","% of known routes","% of all routes"
"England","2020","Cervical","C53","Screening","Unknown",125,NA,0.160668380462725
"England","2020","Cervical","C53","Two Week Wait","Stage I",107,0.217038539553753,0.173983739837398
"England","2020","Cervical","C53","Two Week Wait","Stage II",127,0.257606490872211,0.20650406504065
"England","2020","Cervical","C53","Two Week Wait","Stage III",165,0.334685598377282,0.268292682926829
"England","2020","Cervical","C53","Two Week Wait","Stage IV",94,0.190669371196755,0.152845528455285
"England","2020","Cervical","C53","Two Week Wait","Unknown",122,NA,0.198373983739837
"England","2020","Cervical","C53","GP Referral","Stage I",208,0.587570621468927,0.45119305856833
"England","2020","Cervical","C53","GP Referral","Stage II",56,0.15819209039548,0.121475054229935
"England","2020","Cervical","C53","GP Referral","Stage III",54,0.152542372881356,0.117136659436009
"England","2020","Cervical","C53","GP Referral","Stage IV",36,0.101694915254237,0.0780911062906725
"England","2020","Cervical","C53","GP Referral","Unknown",107,NA,0.232104121475054
"England","2020","Cervical","C53","Emergency Presentation","Stage I",17,0.0988372093023256,0.0615942028985507
"England","2020","Cervical","C53","Emergency Presentation","Stage II",16,0.0930232558139535,0.0579710144927536
"England","2020","Cervical","C53","Emergency Presentation","Stage III",60,0.348837209302326,0.217391304347826
"England","2020","Cervical","C53","Emergency Presentation","Stage IV",79,0.459302325581395,0.286231884057971
"England","2020","Cervical","C53","Emergency Presentation","Unknown",104,NA,0.376811594202899
"England","2020","Cervical","C53","Other","Stage I",96,0.551724137931034,0.396694214876033
"England","2020","Cervical","C53","Other","Stage II",20,0.114942528735632,0.0826446280991736
"England","2020","Cervical","C53","Other","Stage III",37,0.21264367816092,0.152892561983471
"England","2020","Cervical","C53","Other","Stage IV",21,0.120689655172414,0.0867768595041322
"England","2020","Cervical","C53","Other","Unknown",68,NA,0.28099173553719
"England","2020","Kidney","C64 excluding ICD-O-3 8120, 8122, 8130, 8131","Two Week Wait","Stage I",942,0.46865671641791,0.410815525512429
"England","2020","Kidney","C64 excluding ICD-O-3 8120, 8122, 8130, 8131","Two Week Wait","Stage II",150,0.0746268656716418,0.0654164849542085
"England","2020","Kidney","C64 excluding ICD-O-3 8120, 8122, 8130, 8131","Two Week Wait","Stage III",504,0.250746268656716,0.21979938944614
"England","2020","Kidney","C64 excluding ICD-O-3 8120, 8122, 8130, 8131","Two Week Wait","Stage IV",414,0.205970149253731,0.180549498473615
"England","2020","Kidney","C64 excluding ICD-O-3 8120, 8122, 8130, 8131","Two Week Wait","Unknown",283,NA,0.123419101613607
"England","2020","Kidney","C64 excluding ICD-O-3 8120, 8122, 8130, 8131","GP Referral","Stage I",1071,0.5814332247557,0.453237410071942
"England","2020","Kidney","C64 excluding ICD-O-3 8120, 8122, 8130, 8131","GP Referral","Stage II",109,0.0591748099891422,0.0461278036394414
"England","2020","Kidney","C64 excluding ICD-O-3 8120, 8122, 8130, 8131","GP Referral","Stage III",380,0.206297502714441,0.160812526449429
"England","2020","Kidney","C64 excluding ICD-O-3 8120, 8122, 8130, 8131","GP Referral","Stage IV",282,0.153094462540717,0.119339822259839
"England","2020","Kidney","C64 excluding ICD-O-3 8120, 8122, 8130, 8131","GP Referral","Unknown",521,NA,0.220482437579348
"England","2020","Kidney","C64 excluding ICD-O-3 8120, 8122, 8130, 8131","Emergency Presentation","Stage I",651,0.39963167587477,0.282674772036474
"England","2020","Kidney","C64 excluding ICD-O-3 8120, 8122, 8130, 8131","Emergency Presentation","Stage II",87,0.0534069981583794,0.0377768128528007
"England","2020","Kidney","C64 excluding ICD-O-3 8120, 8122, 8130, 8131","Emergency Presentation","Stage III",233,0.143032535297729,0.101172383847156
"England","2020","Kidney","C64 excluding ICD-O-3 8120, 8122, 8130, 8131","Emergency Presentation","Stage IV",658,0.403928790669122,0.285714285714286
"England","2020","Kidney","C64 excluding ICD-O-3 8120, 8122, 8130, 8131","Emergency Presentation","Unknown",674,NA,0.292661745549284
"England","2020","Kidney","C64 excluding ICD-O-3 8120, 8122, 8130, 8131","Other","Stage I",864,0.549268912905277,0.425615763546798
"England","2020","Kidney","C64 excluding ICD-O-3 8120, 8122, 8130, 8131","Other","Stage II",105,0.066751430387794,0.0517241379310345
"England","2020","Kidney","C64 excluding ICD-O-3 8120, 8122, 8130, 8131","Other","Stage III",333,0.211697393515575,0.164039408866995
"England","2020","Kidney","C64 excluding ICD-O-3 8120, 8122, 8130, 8131","Other","Stage IV",271,0.172282263191354,0.133497536945813
"England","2020","Kidney","C64 excluding ICD-O-3 8120, 8122, 8130, 8131","Other","Unknown",457,NA,0.22512315270936
"England","2020","Lung","C33-C34","Emergency Presentation","Stage I",1422,0.120040520006753,0.104168192806388
"England","2020","Lung","C33-C34","Emergency Presentation","Stage II",564,0.047611007935168,0.0413156545308036
"England","2020","Lung","C33-C34","Emergency Presentation","Stage III",1719,0.145112274185379,0.125924840671013
"England","2020","Lung","C33-C34","Emergency Presentation","Stage IV",8141,0.6872361978727,0.596366566551901
"England","2020","Lung","C33-C34","Emergency Presentation","Unknown",1805,NA,0.132224745439895
"England","2020","Lung","C33-C34","GP Referral","Stage I",2314,0.348022258986314,0.315516771202618
"England","2020","Lung","C33-C34","GP Referral","Stage II",625,0.093999097608663,0.085219525497682
"England","2020","Lung","C33-C34","GP Referral","Stage III",1277,0.19205895623402,0.174120534496864
"England","2020","Lung","C33-C34","GP Referral","Stage IV",2433,0.365919687171003,0.331742568857377
"England","2020","Lung","C33-C34","GP Referral","Unknown",685,NA,0.0934005999454595
"England","2020","Lung","C33-C34","Other","Stage I",2329,0.331200227531286,0.290797852416032
"England","2020","Lung","C33-C34","Other","Stage II",634,0.0901592718998862,0.0791609439380697
"England","2020","Lung","C33-C34","Other","Stage III",1395,0.198378839590444,0.174179048570358
"England","2020","Lung","C33-C34","Other","Stage IV",2674,0.380261660978385,0.333874391309776
"England","2020","Lung","C33-C34","Other","Unknown",977,NA,0.121987763765764
"England","2020","Lung","C33-C34","Two Week Wait","Stage I",1369,0.170104373757455,0.166383082158483
"England","2020","Lung","C33-C34","Two Week Wait","Stage II",638,0.0792743538767396,0.0775401069518717
"England","2020","Lung","C33-C34","Two Week Wait","Stage III",2173,0.270004970178926,0.264098201263977
"England","2020","Lung","C33-C34","Two Week Wait","Stage IV",3868,0.480616302186879,0.470102090422946
"England","2020","Lung","C33-C34","Two Week Wait","Unknown",180,NA,0.0218765192027224
"England","2020","Lung - non-small cell","C33-C34 excluding 8002, 8041, 8042, 8043, 8044, 8045","Two Week Wait","Stage I",1342,0.186182019977802,0.181842818428184
"England","2020","Lung - non-small cell","C33-C34 excluding 8002, 8041, 8042, 8043, 8044, 8045","Two Week Wait","Stage II",617,0.0855993340732519,0.0836043360433604
"England","2020","Lung - non-small cell","C33-C34 excluding 8002, 8041, 8042, 8043, 8044, 8045","Two Week Wait","Stage III",1924,0.2669256381798,0.26070460704607
"England","2020","Lung - non-small cell","C33-C34 excluding 8002, 8041, 8042, 8043, 8044, 8045","Two Week Wait","Stage IV",3325,0.461293007769145,0.450542005420054
"England","2020","Lung - non-small cell","C33-C34 excluding 8002, 8041, 8042, 8043, 8044, 8045","Two Week Wait","Unknown",172,NA,0.0233062330623306
"England","2020","Lung - non-small cell","C33-C34 excluding 8002, 8041, 8042, 8043, 8044, 8045","GP Referral","Stage I",2282,0.370514693943822,0.334555050579094
"England","2020","Lung - non-small cell","C33-C34 excluding 8002, 8041, 8042, 8043, 8044, 8045","GP Referral","Stage II",605,0.0982302321805488,0.0886966720422225
"England","2020","Lung - non-small cell","C33-C34 excluding 8002, 8041, 8042, 8043, 8044, 8045","GP Referral","Stage III",1151,0.186880987173242,0.16874358598446
"England","2020","Lung - non-small cell","C33-C34 excluding 8002, 8041, 8042, 8043, 8044, 8045","GP Referral","Stage IV",2121,0.344374086702387,0.310951473390998
"England","2020","Lung - non-small cell","C33-C34 excluding 8002, 8041, 8042, 8043, 8044, 8045","GP Referral","Unknown",662,NA,0.0970532180032253
"England","2020","Lung - non-small cell","C33-C34 excluding 8002, 8041, 8042, 8043, 8044, 8045","Emergency Presentation","Stage I",1409,0.131363043072907,0.113009303817774
"England","2020","Lung - non-small cell","C33-C34 excluding 8002, 8041, 8042, 8043, 8044, 8045","Emergency Presentation","Stage II",554,0.0516501957859407,0.0444337504010266
"England","2020","Lung - non-small cell","C33-C34 excluding 8002, 8041, 8042, 8043, 8044, 8045","Emergency Presentation","Stage III",1550,0.144508670520231,0.124318254732114
"England","2020","Lung - non-small cell","C33-C34 excluding 8002, 8041, 8042, 8043, 8044, 8045","Emergency Presentation","Stage IV",7213,0.672478090620921,0.578521013795316
"England","2020","Lung - non-small cell","C33-C34 excluding 8002, 8041, 8042, 8043, 8044, 8045","Emergency Presentation","Unknown",1742,NA,0.13971767725377
"England","2020","Lung - non-small cell","C33-C34 excluding 8002, 8041, 8042, 8043, 8044, 8045","Other","Stage I",2296,0.361404061073509,0.314995198243929
"England","2020","Lung - non-small cell","C33-C34 excluding 8002, 8041, 8042, 8043, 8044, 8045","Other","Stage II",608,0.095702817566504,0.0834133626011799
"England","2020","Lung - non-small cell","C33-C34 excluding 8002, 8041, 8042, 8043, 8044, 8045","Other","Stage III",1214,0.191090823233118,0.166552339141172
"England","2020","Lung - non-small cell","C33-C34 excluding 8002, 8041, 8042, 8043, 8044, 8045","Other","Stage IV",2235,0.351802298126869,0.306626423377692
"England","2020","Lung - non-small cell","C33-C34 excluding 8002, 8041, 8042, 8043, 8044, 8045","Other","Unknown",936,NA,0.128412676636027
"England","2020","Lung - small cell","C33-C34 with ICD-O-3 8002, 8041, 8042, 8043, 8044, 8045","Two Week Wait","Stage I",27,0.0321428571428571,0.0318396226415094
"England","2020","Lung - small cell","C33-C34 with ICD-O-3 8002, 8041, 8042, 8043, 8044, 8045","Two Week Wait","Stage II",21,0.025,0.0247641509433962
"England","2020","Lung - small cell","C33-C34 with ICD-O-3 8002, 8041, 8042, 8043, 8044, 8045","Two Week Wait","Stage III",249,0.296428571428571,0.293632075471698
"England","2020","Lung - small cell","C33-C34 with ICD-O-3 8002, 8041, 8042, 8043, 8044, 8045","Two Week Wait","Stage IV",543,0.646428571428571,0.640330188679245
"England","2020","Lung - small cell","C33-C34 with ICD-O-3 8002, 8041, 8042, 8043, 8044, 8045","Two Week Wait","Unknown",8,NA,0.00943396226415094
